*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	%+d%% Chance of Open Wounds	%+d%% 撕开伤口机会	%+d%% 撕開傷口機會
	%+d%% Chance of Crushing Blow	%+d%% 造成压碎性打击的几率	%+d%% 造成壓碎性打擊的幾率
	%+d Kick Damage	%+d 脚踢伤害	%+d 脚踢傷害
	%+d Mana After Each Kill	%+d 法力在杀死敌人后获得	%+d 法力在殺死敵人后獲得
	%+d Life After Each Demon Kill	%+d 生命在杀死恶魔后获得	%+d 生命在殺死惡魔后獲得
	Extra Blood %d	额外生命值 %d	額外生命值 %d
	%+d%% Chance of Deadly Strike	%+d%% 致命攻击	%+d%% 致命攻擊
	Fire Absorb %+d%%	火焰吸收 %+d%%	火焰吸收 %+d%%
	%+d File Absorb	%+d 火焰吸收	%+d 火焰吸收
	Lightning Absorb %+d%%	闪电吸收 %+d%%	閃電吸收 %+d%%
	%+d Lightning Absorb	%+d 闪电吸收	%+d 閃電吸收
	Magic Absorb %+d%%	魔法吸收 %+d%%	魔法吸收 %+d%%
	%+d Magic Absorb	魔法吸收 %+d%%	魔法吸收 %+d%%
	Cold Absorb %+d%%	寒冰吸收 %+d%%	寒冰吸收 %+d%%
	%+d Cold Absorb	%+d 寒冰吸收	%+d 寒冰吸收
	Slows Target by %+d%%	使目标速度降低 %+d%%	使目標速遞降低 %+d%%
	Level %+d %s Aura When Equipped	装备 %+d 级的 %s 灵气	裝備 %+d 級的 %s 靈氣
	Indestructible	装备无法破坏	裝備無法破壞
	Cannot Be Frozen	无法冻结	無法凍結
	%+d%% Slower Stamina Drain	%+d%% 减缓精力消耗	%+d%% 減緩精力消耗
	%+d%% Chance of Reanimate as %s	杀死怪物后有	%+d%% 几率复活为 %s
	%+d%% Chance of Piercing Attack	%+d%% 穿刺攻击	%+d%% 穿刺攻擊
	Fires Magic Arrows or Bolts %+d	射出魔法箭矢 %+d	射出魔法箭矢 %+d
	Fires Explosive Arrows or Bolts %+d	箭矢或十字弓弹火焰爆炸 %+d	箭矢或十字弓弹火焰爆炸 %+d
	%+d to Min Throw Damage NV	%+d 投掷最小伤害	%+d 投擲最小傷害
	%+d to Max Throw Damage NV	%+d 投掷最大伤害	%+d 投擲最大傷害
	handofathena	慢速箭	慢速箭
	staminapercent	精力	精力
	passive_staminapercent	增加耐力	增加耐力
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	%+d%% to Attack Rating vs %s	%+d%% 转为命中率相对 %s	%+d%% 轉爲命中率相對 %s
	%+d%% to Damage vs %s	%+d%% 转为伤害相对 %s	%+d%% 轉爲傷害相對 %s
	Fade %d	隐身	隱身
	Armor Override	防御百分比	防禦百分比
	Unused		
	Unused		
	Unused		
	Unused		
	Monster Cold Immunity is Sundered	破除怪物的冰寒免疫	破除怪物的冰寒免疫
	%+d %s (%s only)	%+d %s (只限%s)	%+d %s (只限%s)
	Monster Fire Immunity is Sundered	破除怪物的火焰免疫	破除怪物的火焰免疫
	Monster Lightning Immunity is Sundered	破除怪物的闪电免疫	破除怪物的閃電免疫
	Monster Poison Immunity is Sundered	破除怪物的毒素免疫	破除怪物的毒素免疫
	Monster Physical Immunity is Sundered	破除怪物的物理免疫	破除怪物的物理免疫
	Monster Magic Immunity is Sundered	破除怪物的魔法免疫	破除怪物的魔法免疫
	Add %+d Sockets	增加 %+d 凹槽	增加 %+d 凹槽
	%+d%% Chance to Cast Level %d %s When Attack	攻击时有%+d%%机会施展等级%d %s	攻擊時%+d%%機會施展等級%d %s
	%+d%% Chance to Cast Level %d %s When Kill	当杀死敌人 %+d%% 机会施展等级%d %s	殺死敵人時%+d%%機會施展等級%d %s
	%+d%% Chance to Cast Level %d %s When Death	当死亡时%+d%%机会施展等级%d %s	死亡時%+d%%機會施展等級%d %s
	%+d%% Chance to Cast Level %d %s When Striking	当打击时有%+d%%机会施展等级%d %s	打擊時%+d%%機會施展等級%d %s
	%+d%% Chance to Cast Level %d %s When Levelup	当升级时%+d%%机会施展等级%d %s	升級時%+d%%機會施展等級%d %s
	Unused		
	%+d%% Chance to Cast Level %d %s When Struck	被击中时有 %+d%% 几率释放 %d级 %s 技能	被擊中時有 %+d%% 几率釋放 %d級 %s 技能
	Unused		
	Unused		
	Level %+d %s (%d/%d Charges)	等级 %+d %s (%d/%d 聚气)	
	Unused		
	Unused		
	Unused		
	Unused		
	Unused		
	Unused		
	Unused		
	Unused		
	Unused		
	%+g Defence per Level	%+g 防御(以角色等级决定)	%+g 防禦(以角色等級決定)
	%+g Enhanced Defence per Level	%+g 防御强化(以角色等级决定)	%+g 防禦强化(以角色等級決定)
	%+g Life per Level	%+g 生命(以角色等级决定)	%+g 生命(以角色等級決定)
	%+g Mana per Level	%+g 法力(以角色等级决定)	%+g 法力(以角色等級決定)
	%+g Max Damage per Level	%+g 最大伤害值(以角色等级决定)	%+g 每級最大值(以角色等級決定)
	%+g Enhanced Max Damage per Level	%+g 增加最大伤害上限(以角色等级决定)	%+g 增加最伤害上限(以角色等級決定)
	%+g Strength per Level	%+g 力量(以角色等级决定)	%+g 每級力量(以角色等級決定)
	%+g Dexterity per Level	%+g 敏捷(以角色等级决定)	%+g 敏捷(以角色等級決定)
	%+g Energy per Level	%+g 精力(以角色等级决定)	%+g 精力(以角色等級決定)
	%+g Vitality per Level	%+g 体力(以角色等级决定)	%+g 體力(以角色等級決定)
	%+g Attack Rating per Level	%+g 命中率(以角色等级决定)	%+g 命中率(以角色等級決定)
	%+g%% Bonus to Attack Rating per Level	%+g%% 额外的攻击命中率加成(以角色等级决定)	%+g%% 額外的攻擊命中率加成(以角色等級決定)
	%+g Max Cold Damage per Level	%+g 寒冷伤害最大值(以角色等级决定)	%+g 寒冷傷害最大值(以角色等級決定)
	%+g Max Fire Damage per Level	%+g 火焰伤害最大值(以角色等级决定)	%+g 火焰傷害最大值(以角色等級決定)
	%+g Max Lightning Damage per Level	%+g 闪电伤害最大值(以角色等级决定)	%+g 閃電傷害最大值(以角色等級決定)
	%+g Max Poison Damage per Level	%+g 毒素伤害最大值(以角色等级决定)	%+g 毒素傷害最大值(以角色等級決定)
	Cold Resist %+g%% per Level	寒抗 %+g%% (以角色等级决定)	寒抗 %+g%% (以角色等級決定)
	Fire Resist %+g%% per Level	火抗 %+g%% (以角色等级决定)	火抗 %+g%% (以角色等級決定)
	Lightning Resist %+g%% per Level	抗闪电 %+g%% (以角色等级决定)	抗閃電 %+g%% (以角色等級決定)
	Poison Resist %+g%% per Level	毒抗 %+g%% (以角色等级决定)	毒抗 %+g%% (以角色等級決定)
	%+g Cold Absorb per Level	%+g 吸收冰冷伤害 (以角色等级决定)	%+g 吸收冰冷傷害 (以角色等級決定)
	%+g Fire Absorb per Level	%+g 吸收火焰伤害 (以角色等级决定)	%+g 吸收火焰傷害 (以角色等級決定)
	%+g Lightning Absorb per Level	%+g 吸收闪电伤害 (以角色等级决定)	%+g 吸收閃電傷害 (以角色等級決定)
	%+g Poison Absorb per Level	%+g 吸收毒素伤害 (以角色等级决定)	%+g 吸收毒素傷害 (以角色等級決定)
	Attacker Takes Damage of %+g per Level	攻击者受到伤害%+g(以角色等级决定)	攻擊者收到傷害%+g (以角色等級決定)
	%+g%% Extra Gold from Monsters per Level	%+g%% 额外金币从怪物身上取得 (以角色等级决定)	%+g%% 額外金幣從怪物身上取得 (以角色等級決定)
	%+g%% Better Chance of Getting Magic Items per Level	%+g%% 更加的机会取得魔法装备 (以角色等级决定)	%+g%% 更佳的機會取得魔法裝備  (以角色等級決定)
	Heal Stamina Plus %+g%% per Level	回复体力加 %+g%% (以角色等级决定)	回復體力加 %+g%% (以角色等級決定)
	%+g Max Stamina per Level	%+g 最大精力值 (以角色等级决定)	%+g 最大精力值 (以角色等級決定)
	%+g%% Damage to Demons per Level	%+g%% 对恶魔的伤害 (以角色等级决定)	%+g%% 對惡魔的傷害 (以角色等級決定)
	%+g%% Damage to Undead per Level	%+g%% 对不死生物的伤害 (以角色等级决定)	%+g%% 對不死生物的傷害 (以角色等級決定)
	%+g to Attack Rating vs Demons per Level	%+g%% 对抗恶魔的命中率 (以角色等级决定)	%+g%% 對抗惡魔的準確率 (以角色等級決定)
	%+g to Attack Rating vs Undead per Level	%+g%% 对抗不死生物的命中率 (以角色等级决定)	%+g%% 對抗不死生物的準確率 (以角色等級決定)
	%+g%% Chance of Crushing Blow per Level	%+g%% 造成压碎性打击的几率 (以角色等级决定)	%+g%% 造成壓碎性打擊的幾率 (以角色等級決定)
	%+g%% Chance of Open Wounds per Level	%+g%% 撕开伤口的几率 (以角色等级决定)	%+g%% 撕開傷口的幾率 (以角色等級決定)
	%+g Kick Damage per Leve	%+g 脚踢伤害 (以角色等级决定)	%+g 脚踢伤害脚踢傷害 (以角色等級決定)
	%+g%% Chance of Deadly Strike per Level	%+g%% 致命攻击 (以角色等级决定)	%+g%% 致命攻擊 (以角色等級決定)
	Find Gems per Level	宝石掉落	寶石掉落
	Repairs 1 Durability in %d Seconds	回复装备耐久度1于 %d 秒内	回復裝備耐久度1於 %d 秒内
	Replenishes 1 Quantity in %d Seconds	在 %d 秒内回复数量1	在 %d 秒内回復數量1
	Increased Stack Size %+d	增加的空间 %+d	增加的空間 %+d
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	Uncoded		
	%+d - %d Defense (Increases %s)	%+d - %d 防御 (%s 增加)	%+d - %d 防禦 (%s 增加)
	%+d - %d Enhanced Defense (Increases %s)	%+d - %d 防御强化 (%s 增加)	%+d - %d 防禦强化 (%s 增加)
	%+d - %d Life (Increases %s)	%+d - %d 生命 (%s 增加)	%+d - %d 生命 (%s 增加)
	%+d - %d Mana (Increases %s)	%+d - %d 法力 (%s 增加)	%+d - %d 法力 (%s 增加)
	%+d - %d Max Damage (Increases %s)	%+d - %d 最大伤害值 (%s 增加)	%+d - %d 最大傷害值 (%s 增加)
	%+d - %d Enhanced Max Damage (Increases %s)	%+d - %d 傷害上限 (在 %s 增加)	%+d - %d 傷害上限 (%s 增加)
	%+d - %d Strength (Increases %s)	%+d - %d 力量 (%s 增加)	%+d - %d 力量 (%s 增加)
	%+d - %d Dexterity (Increases %s)	%+d - %d 敏捷 (%s 增加)	%+d - %d 敏捷 (%s 增加)
	%+d - %d Energy (Increases %s)	%+d - %d 精力 (%s 增加)	%+d - %d 精力 (%s 增加)
	%+d - %d Vitality (Increases %s)	%+d - %d 体力 (%s 增加)	%+d - %d 體力 (%s 增加)
	%+d - %d Attack Rating (Increases %s)	%+d - %d 命中率 (%s 增加)	%+d - %d 準確率 (%s 增加)
	%+d - %d Enhanced Attack Rating (Increases %s)	%+d - %d 额外的攻击命中率 (%s 增加)	%+d - %d 額外的攻擊準確率 (%s 增加)
	%+d - %d Max Cold Damage (Increases %s)	%+d - %d 寒冷伤害最大值 (%s 增加)	%+d - %d 寒冷傷害最大值 (%s 增加)
	%+d - %d Max Fire Damage (Increases %s)	%+d - %d 火焰伤害最大值 (%s 增加)	%+d - %d 火焰傷害最大值 (%s 增加)
	%+d - %d Max Lightning Damage (Increases %s)	%+d - %d 雷电伤害最大值 (%s 增加)	%+d - %d 雷電傷害最大值 (%s 增加)
	%+d - %d Max Poison Damage (Increases %s)	%+d - %d 毒素伤害最大值 (%s 增加)	%+d - %d 毒素傷害最大值 (%s 增加)
	%+d%% - %d%% Cold Resist (Increases %s)	%+d%% - %d%% 寒冷抗性 (%s 增加)	%+d%% - %d%% 寒冷抗性 (%s 增加)
	%+d%% - %d%% Fire Resist (Increases %s)	%+d%% - %d%% 火焰抗性 (%s 增加)	%+d%% - %d%% 火焰抗性 (%s 增加)
	%+d%% - %d%% Lightning Resist (Increases %s)	%+d%% - %d%% 雷电抗性 (%s 增加)	%+d%% - %d%% 雷電抗性 (%s 增加)
	%+d%% - %d%% Poison Resist (Increases %s)	%+d%% - %d%% 毒素抗性 (%s 增加)	%+d%% - %d%% 毒素抗性 (%s 增加)
	%+d - %d Cold Absorb (Increases %s)	%+d - %d 吸收冰冷伤害 (%s 增加)	%+d - %d 吸收冰冷傷害 (%s 增加)
	%+d - %d Fire Absorb (Increases %s)	%+d - %d 吸收火焰伤害 (%s 增加)	%+d - %d 吸收火焰傷害 (%s 增加)
	%+d - %d Lightning Absorb (Increases %s)	%+d - %d 吸收雷电伤害 (%s 增加)	%+d - %d 吸收雷電傷害 (%s 增加)
	%+d - %d Poison Absorb (Increases %s)	%+d - %d 吸收毒素伤害 (%s 增加)	%+d - %d 吸收毒素傷害 (%s 增加)
	%+d%% - %d%% Extra Gold from Monsters (Increases %s)	%+d%% - %d%% 额外的金币从怪物身上取得 (%s 增加)	%+d%% - %d%% 額外的金幣從怪物身上取得 (%s 增加)
	%+d%% - %d%% Better Chance of Getting Magic Items (Increases %s)	%+d%% - %d%% 更加的机会取得魔法装备 (%s 增加)	%+d%% - %d%% 更佳的機會取得魔法裝備 (%s 增加)
	Heal Stamina Plus %+d - %d%% (Increases %s)	回复体力加 %+d - %d%% (%s 增加)	回復體力加%+d - %d%% (%s 增加)
	%+d - %d Stamina (Increases %s)	%+d - %d  最大精力值 (%s 增加)	%+d - %d 最大精力值 (%s 增加)
	%+d%% - %d%% Damage to Demons (Increases %s)	%+d%% - %d%% 对恶魔的伤害 (%s 增加)	%+d%% - %d%% 對惡魔的傷害 (%s 增加)
	%+d%% - %d%% Damage to Undead (Increases %s)	%+d%% - %d%% 对不死生物的伤害 (%s 增加)	%+d%% - %d%% 對不死生物的傷害 (%s 增加)
	%+d - %d Attack Rating vs Demons (Increases %s)	%+d - %d 对抗恶魔的命中率 (%s 增加)	%+d - %d 對抗惡魔的準確率 (%s 增加)
	%+d - %d Attack Rating vs Undead (Increases %s)	%+d - %d 对抗不死生物的命中率 (%s 增加)	%+d - %d 對抗不死生物的準確率 (%s 增加)
	%+d%% - %d%% Chance of Crushing Blow (Increases %s)	%+d%% - %d%% 造成压碎性打击的几率 (%s 增加)	%+d%% - %d%% 造成壓碎性打擊的幾率 (%s 增加)
	%+d%% - %d%% Chance of Open Wounds (Increases %s)	%+d%% - %d%% 撕开伤口的几率 (%s 增加)	%+d%% - %d%% 撕開傷口的幾率 (%s 增加)
	%+d - %d Kick Damage (Increases %s)	%+d - %d 脚踢伤害 (%s 增加)	%+d - %d 脚踢伤害脚踢傷害 (%s 增加)
	%+d - %d Chance of  Deadly Strike (Increases %s)	%+d - %d 致命攻击 (%s 增加)	%+d - %d 致命攻擊 (%s 增加)
	Item Find Gems (by time)	宝石掉落	寶石掉落
	%+d%% Enemy Cold Resist	%+d%% 敌人冰冻系抗性	%+d%% 敵人冰凍係抗性
	%+d%% Enemy Fire Resist	%+d%% 敌人火焰系抗性	%+d%% 敵人火焰係抗性
	%+d%% Enemy Lightning Resist	%+d%% 敌人雷电系抗性	%+d%% 敵人雷電係抗性
	%+d%% Enemy Poison Resist	%+d%% 敌人毒素系抗性	%+d%% 敵人毒素係抗性
	Item Damage vs Monster		
	Item Damage Percent vs Monster		
	Item Tohit vs Monster		
	Item Tohit Percent vs Monster		
	Item AC vs Monster		
	Item AC Percent vs Monster		
	Fire Length		
	Burning Min		
	Burning Max		
	Progressive Damage		
	Progressive Steal		
	Progressive Other		
	Progressive Fire		
	Progressive Cold		
	Progressive Lightning		
	Item Extra Charges %+d		
	Progressive Tohit		
	Poison Count		
	Damage Frame Rate		
	Pierce IDX		
	%+d%% Fire Skill Damage	%+d%% 火焰技能伤害	%+d%% 火焰技能傷害
	%+d%% Lightning Skill Damage	%+d%% 雷电系技能伤害	%+d%% 雷電係技能傷害
	%+d%% Cold Skill Damage	%+d%% 冰冻技能伤害	%+d%% 冰凍技能傷害
	%+d%% Poison Skill Damage	%+d%% 毒素技能伤害	%+d%% 毒素技能傷害
	%+d%% Enemy Fire Resist	%+d%% 敌人火焰系抗性	%+d%% 敵人火焰係抗性
	%+d%% Enemy Lightning Resist	%+d%% 敌人雷电系抗性	%+d%% 敵人雷電係抗性
	%+d%% Enemy Cold Resist	%+d%% 敌人冰冻系抗性	%+d%% 敵人冰凍係抗性
	%+d%% Enemy Poison Resist	%+d%% 敌人毒素系抗性	%+d%% 敵人毒素係抗性
	Passive Critical Strike %d	致命一击 %d	致命一擊 %d
	Passive Dodge %d	闪避 %d	閃避 %d
	Passive Avoid %d	躲避 %d	躲避 %d
	Passive Evade %d	回避 %d	回避 %d
	Passive Warmth %d	暖气 %d	暖氣 %d
	Passive Mastery Melee TH %d	支配近战武器-攻击命中率 %d	支配近戰武器-攻擊命中率 %d
	Passive Mastery Melee Damage %d	支配近战武器-伤害 %d	支配近戰武器-傷害 %d
	Passive Mastery Melee Crit %d	支配近战武器-致命一击 %d	支配近戰武器-致命一擊 %d
	Passive Mastery Throw TH %d	支配飞掷-攻击命中率 %d	支配飛擲-攻擊命中率 %d
	Passive Mastery Throw Damage %d	支配飞掷-伤害 %d	支配飛擲-傷害 %d
	Passive Mastery Throw Crit %d	支配飞掷-致命一击 %d	支配飛擲-致命一擊 %d
	Passive Weapon Block %d	武器格挡 %d	武器格擋 %d
	Passive Summon Resist %d	召唤反抗 %d	召喚反抗 %d
	Modifier List Skill		
	Modifier List Level		
	Last Sent HP PCT		
	Source Unit Type		
	Source Unit ID		
	Short Paraml		
	Quest Item Difficulty %d	任务物品难度 %d	任務物品難度 %d
	Passive Magic Mastery %d	支配魔法 %d	支配魔法 %d
	Passive Magic Pierce %d	魔法穿透 %d	魔法穿透 %d
*=======================以下是怪物名称(Monster Names)			
	Skeleton		
	Returned		
	BoneWarrior		
	BurningDead		
	Horror		
	Zombie	僵尸	僵尸
	HungryDead		
	Ghoul		
	DrownedCarcass		
	PlagueBearer		
	Afflicted		
	Tainted		
	Misshapen		
	Disfigured		
	Damned		
	FoulCrow		
	BloodHawk		
	BlackRaptor		
	CloudStalker		
	Fallen		
	Carver		
	Devilkin		
	DarkOne		
	WarpedFallen		
	Brute		
	Yeti		
	Crusher		
	WailingBeast		
	GargantuanBeast		
	SandRaider		
	Marauder		
	Invader		
	Infidel		
	Assailant		
	unused		
	unused		
	unused		
	unused		
	Ghost		
	Wraith		
	Specter		
	Apparition		
	DarkShape		
	DarkHunter		
	VileHunter		
	DarkStalker		
	BlackRogue		
	FleshHunter		
	DuneBeast		
	RockDweller		
	JungleHunter		
	DoomApe		
	TempleGuard		
	MoonClan		
	NightClan		
	BloodClan		
	HellClan		
	DeathClan		
	FallenShaman		
	CarverShaman		
	DevilkinShaman		
	DarkShaman		
	WarpedShaman		
	QuillRat		
	SpikeFiend		
	ThornBeast		
	RazorSpine		
	JungleUrchin		
	SandMaggot		
	RockWorm		
	Devourer		
	GiantLamprey		
	WorldKiller		
	TombViper		
	ClawViper		
	Salamander		
	PitViper		
	SerpentMagus		
	SandLeaper		
	CaveLeaper		
	TombCreeper		
	TreeLurker		
	RazorPitDemon		
	Huntress		
	SaberCat		
	NightTiger		
	HellCat		
	Itchies		
	BlackLocusts		
	PlagueBugs		
	HellSwarm		
	DungSoldier		
	SandWarrior		
	Scarab		
	SteelWeevil		
	AlbinoRoach		
	DriedCorpse		
	Decayed		
	Embalmed		
	PreservedDead		
	Cadaver		
	HollowOne		
	Guardian		
	Unraveler		
	Horadrim Ancient		
	Baal Subject Mummy		
	unused		
	unused		
	unused		
	unused		
	CarrionBird		
	UndeadScavenger		
	HellBuzzard		
	WingedNightmare		
	Sucker		
	Feeder		
	BloodHook		
	BloodWing		
	Gloam		
	SwampGhost		
	BurningSoul		
	BlackSoul		
	Arach		
	SandFisher		
	PoisonSpinner		
	FlameSpider		
	SpiderMagus		
	ThornedHulk		
	BrambleHulk		
	Thrasher		
	Spikefist		
	GhoulLord		
	NightLord		
	DarkLord		
	BloodLord		
	Banished		
	DesertWing		
	Fiend		
	Gloombat		
	BloodDiver		
	DarkFamiliar		
	RatMan		
	Fetish		
	Flayer		
	SoulKiller		
	StygianDoll		
	DeckardCain		
	Gheed		
	Akara		
	dummy		
	Kashya		
	dummy		
	Dummy		
	Dummy		
	Charsi		
	Warriv		
	Andariel		
	dummy		
	dummy		
	dummy		
	DarkRanger		
	VileArcher		
	DarkArcher		
	BlackArcher		
	FleshArcher		
	DarkSpearwoman		
	VileLancer		
	DarkLancer		
	BlackLancer		
	FleshLancer		
	SkeletonArcher		
	ReturnedArcher		
	BoneArcher		
	BurningDeadArcher		
	HorrorArcher		
	Warriv		
	Atma		
	Drognan		
	Fara		
	dummy		
	SandMaggotYoung		
	RockWormYoung		
	DevourerYoung		
	GiantLampreyYoung		
	WorldKillerYoung		
	dummy		
	Blunderbore		
	Gorbelly		
	Mauler		
	Urdar		
	SandMaggotEgg		
	RockWormEgg		
	DevourerEgg		
	GiantLampreyEgg		
	WorldKillerEgg		
	dummy		
	Dummy		
	dummy		
	Greiz		
	Elzix		
	Geglash		
	Jerhyn		
	Lysander		
	Dummy		
	dummy		
	dummy		
	FoulCrowNest		
	BloodHawkNest		
	BlackVultureNest		
	CloudStalkerNest		
	Meshif		
	Duriel		
	Undead RatMan		
	Undead Fetish		
	Undead Flayer		
	Undead SoulKiller		
	Undead StygianDoll		
	unused		
	unused		
	unused		
	unused		
	unused		
	unused		
	unused		
	unused		
	unused		
	unused		
	Maggot		
	MummyGenerator		
	Radament		
	unused		
	unused		
	unused		
	unused		
	FlyingScimitar		
	Zakarumite		
	Faithful		
	Zealot		
	Sexton		
	Cantor		
	Heirophant		
	Heirophant		
	Mephisto		
	Diablo		
	DeckardCain		
	DeckardCain		
	DeckardCain		
	Swamp Dweller		
	Bog Creature		
	Slime Prince		
	Summoner		
	tyrael		
	asheara		
	hratli		
	alkor		
	ormus		
	izual		
	halbu		
	WaterWatcherLimb		
	RiverStalkerLimb		
	StygianWatcherLimb		
	WaterWatcherHead		
	RiverStalkerHead		
	StygianWatcherHead		
	meshif		
	DeckardCain		
	navi		
	Bloodraven		
	Dummy		
	Dummy		
	RogueScout		
	Dummy		
	Dummy		
	GargoyleTrap		
	ReturnedMage		
	BoneMage		
	BurningDeadMage		
	HorrorMage		
	RatManShaman		
	FetishShaman		
	FlayerShaman		
	SoulKillerShaman		
	StygianDollShaman		
	larva		
	SandMaggotQueen		
	RockWormQueen		
	DevourerQueen		
	GiantLampreyQueen		
	WorldKillerQueen		
	ClayGolem		
	BloodGolem		
	IronGolem		
	FireGolem		
	Dummy		
	Dummy		
	NightMarauder		
	Dummy		
	Natalya		
	FleshSpawner		
	StygianHag		
	Grotesque		
	FleshBeast		
	StygianDog		
	GrotesqueWyrm		
	Groper		
	Strangler		
	StormCaster		
	Corpulent		
	CorpseSpitter		
	MawFiend		
	DoomKnight		
	AbyssKnight		
	OblivionKnight		
	QuillBear		
	SpikeGiant		
	ThornBrute		
	RazorBeast		
	GiantUrchin		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	a trap		
	a trap		
	a trap		
	a trap		
	a trap		
	Kaelan		
	Dummy		
	Diablo		
	SuckerNest		
	FeederNest		
	BloodHookNest		
	BloodWingNest		
	Guard		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Dummy		
	Council Member		
	Council Member		
	Council Member		
	Turret		
	Turret		
	Turret		
	Hydra		
	Hydra		
	Hydra		
	a trap		
	Dummy		
	Dopplezon		
	Valkyrie		
	Dummy		
	Iron Wolf		
	Balrog		
	PitLord		
	VenomLord		
	NecroSkeleton		
	NecroMage		
	Griswold		
	compellingorb		
	tyrael		
	youngdiablo		
	a trap		
	Dummy		
	LightningSpire		
	FireTower		
	Slinger		
	SpearCat		
	NightSlinger		
	HellSlinger		
	Dummy		
	Dummy		
	ReturnedMage		
	BoneMage		
	BaalColdMage		
	HorrorMage		
	ReturnedMage		
	BoneMage		
	BurningDeadMage		
	HorrorMage		
	ReturnedMage		
	BoneMage		
	BurningDeadMage		
	HorrorMage		
	Hell Bovine		
	Dummy		
	Dummy		
	SpearCat		
	NightSlinger		
	RatMan		
	Fetish		
	Flayer		
	SoulKiller		
	StygianDoll		
	Dummy		
	The Smith		
	TrappedSoul		
	TrappedSoul		
	Jamella		
	Izual		
	RatMan		
	Malachai		
	The Feature Creep		
	Wake of Destruction		
	Charged Bolt Sentry		
	Lightning Sentry		
	Blade Creeper		
	Invis Pet		
	Inferno Sentry		
	Death Sentry		
	Shadow Warrior		
	Shadow Master		
	Druid Hawk		
	Druid Spirit Wolf		
	Druid Fenris		
	Spirit of Barbs		
	Heart of Wolverine		
	Oak Sage		
	Druid Plague Poppy		
	Druid Cycle of Life		
	Vine Creature		
	Druid Bear		
	Eagle		
	Wolf		
	Bear		
	Barricade Door		
	Barricade Door		
	Prison Door		
	Barricade Tower		
	RotWalker		
	ReanimatedHorde		
	ProwlingDead		
	UnholyCorpse		
	DefiledWarrior		
	Siege Beast		
	CrushBiest		
	BloodBringer		
	GoreBearer		
	DeamonSteed		
	SnowYeti1		
	SnowYeti2		
	SnowYeti3		
	SnowYeti4		
	WolfRider1		
	WolfRider2		
	WolfRider3		
	Minionexp		
	Slayerexp		
	IceBoar		
	FireBoar		
	HellSpawn		
	IceSpawn		
	GreaterHellSpawn		
	GreaterIceSpawn		
	FanaticMinion		
	BerserkSlayer		
	ConsumedIceBoar		
	ConsumedFireBoar		
	FrenziedHellSpawn		
	FrenziedIceSpawn		
	InsaneHellSpawn		
	InsaneIceSpawn		
	Succubusexp		
	VileTemptress		
	StygianHarlot		
	Hell Temptress		
	Blood Temptress		
	Dominus		
	VileWitch		
	StygianFury		
	Blood Witch		
	Hell Witch		
	OverSeer		
	Lasher		
	OverLord		
	BloodBoss		
	HellWhip		
	MinionSpawner		
	MinionSlayerSpawner		
	MinionIce/fireBoarSpawner		
	MinionIce/fireBoarSpawner		
	Minionice/hellSpawnSpawner		
	MinionIce/fireBoarSpawner		
	MinionIce/fireBoarSpawner		
	Minionice/hellSpawnSpawner		
	Imp1		
	Imp2		
	Imp3		
	Imp4		
	Imp5		
	CatapultS		
	CatapultE		
	CatapultSiege		
	CatapultW		
	Frozen Horror1		
	Frozen Horror2		
	Frozen Horror3		
	Frozen Horror4		
	Frozen Horror5		
	Blood Lord1		
	Blood Lord2		
	Blood Lord3		
	Blood Lord4		
	Blood Lord5		
	Larzuk		
	Drehya		
	Malah		
	Nihlathak Town		
	Qual-Kehk		
	Catapult Spotter S		
	Catapult Spotter E		
	Catapult Spotter Siege		
	Catapult Spotter W		
	DeckardCain		
	tyrael		
	Act 5 Combatant		
	Act 5 Combatant		
	Barricade Wall Right		
	Barricade Wall Left		
	Nihlathak		
	Drehya		
	Evil hut		
	Death Mauler1		
	Death Mauler2		
	Death Mauler3		
	Death Mauler4		
	Death Mauler5		
	POW		
	Act 5 Townguard		
	Act 5 Townguard		
	Ancient Statue 1		
	Ancient Statue 2		
	Ancient Statue 3		
	Ancient Barbarian 1		
	Ancient Barbarian 2		
	Ancient Barbarian 3		
	Baal Throne		
	Baal Crab		
	Baal Taunt		
	Putrid Defiler1		
	Putrid Defiler2		
	Putrid Defiler3		
	Putrid Defiler4		
	Putrid Defiler5		
	Pain Worm1		
	Pain Worm2		
	Pain Worm3		
	Pain Worm4		
	Pain Worm5		
	Bunny		
	Council Member		
	VenomLord		
	Baal Crab to Stairs		
	Act 5 Hireling 1hs		
	Act 5 Hireling 2hs		
	Baal Tentacle		
	Baal Tentacle		
	Baal Tentacle		
	Baal Tentacle		
	Baal Tentacle		
	Injured Barbarian 1		
	Injured Barbarian 2		
